,inf,e,s
2023-01-01,3.5462979979853784,0.025283328892343526,4.819801587301587
2023-01-02,3.5558617046038483,0.025193355614487878,4.964246031746032
2023-01-03,3.4931677223508912,0.025103382336630453,4.9309126984126985
2023-01-04,3.528320914227632,0.025013409058774805,4.951865079365079
2023-01-05,3.576147265700599,0.02492343578091827,5.005198412698413
2023-01-06,3.635186076312281,0.02483346250306262,5.130198412698413
2023-01-07,3.677543382146892,0.024743489225205195,5.159365079365079
2023-01-08,3.709474747495833,0.024653515947349547,5.131587301587302
2023-01-09,3.708767781824181,0.0245635426694939,4.826825396825397
2023-01-10,3.699831405287662,0.024473569391636474,4.876230158730158
2023-01-11,3.687232196026452,0.024383596113780825,5.030396825396825
2023-01-12,3.6920899501915554,0.02429362283592429,4.935952380952382
2023-01-13,3.712099713600289,0.024203649558067752,4.8470634920634925
2023-01-14,3.7282071035374296,0.024113676280211216,4.6803968253968256
2023-01-15,3.741192594697296,0.024023703002355568,4.693730158730159
2023-01-16,3.7446824673831767,0.02393372972449903,4.432619047619047
2023-01-17,3.723775823687303,0.023843756446642494,4.290952380952381
2023-01-18,3.7046002999857057,0.023753783168786846,4.3183333333333325
2023-01-19,3.673567922875285,0.02366380989093031,4.323333333333333
2023-01-20,3.648032991318435,0.023573836613073773,4.484444444444445
2023-01-21,3.624668629905337,0.023483863335217237,4.23
2023-01-22,3.603178851798208,0.023393890057361588,4.460833333333334
2023-01-23,3.583319146131052,0.023303916779504164,4.469166666666667
2023-01-24,3.569415175052085,0.023213943501648515,4.335833333333334
2023-01-25,3.543449443807118,0.023123970223792867,4.4047222222222215
2023-01-26,3.524430492789576,0.02303399694593633,4.278333333333333
2023-01-27,3.501056159105213,0.022944023668079794,4.87
2023-01-28,3.47872488522621,0.022854050390223257,4.836666666666667
2023-01-29,3.4573287684140785,0.02276407711236761,4.819999999999999
2023-01-30,3.4430377871637394,0.022674103834510184,4.705925925925926
2023-01-31,3.416592985940629,0.022584130556654536,4.7448148148148155
2023-02-01,2.6900730337908056,0.02263511472117319,4.750370370370371
2023-02-02,2.547511512812165,0.022686098885690953,4.917037037037037
2023-02-03,2.469739767932177,0.022737083050209606,4.899259259259259
2023-02-04,2.437770377030759,0.022788067214728258,4.974259259259259
2023-02-05,2.424121927720768,0.022839051379246023,4.797592592592593
2023-02-06,2.3995903122719717,0.022890035543764675,4.810092592592593
2023-02-07,2.3927754991038794,0.022941019708283328,5.012870370370369
2023-02-08,2.424539010904657,0.02299200387280198,5.227156084656085
2023-02-09,2.472458701194585,0.023042988037319745,5.282989417989418
2023-02-10,2.4906612809598805,0.023093972201838397,5.259378306878307
2023-02-11,2.5055124843217413,0.022894956366356745,5.5593783068783065
2023-02-12,2.517850155381027,0.02269594053087509,5.87271164021164
2023-02-13,2.5379040833787494,0.02249692469539344,5.996521164021163
2023-02-14,2.5469541182807456,0.022297908859911786,6.00207671957672
2023-02-15,2.543356212017363,0.022098893024430133,6.060806878306878
2023-02-16,2.543195895734752,0.02189987718894848,6.055806878306878
2023-02-17,2.538196221527855,0.0417008613534664,6.147473544973545
