Day;p50_inf_sent;p68_inf_sent;p32_inf_sent;p50_inf_fx;p68_inf_fx;p32_inf_fx;p50_inf_i;p68_inf_i;p32_inf_i;p50_e_sent;p68_e_sent;p32_e_sent;p50_e_inf;p68_e_inf;p32_e_inf;p50_e_i;p68_e_i;p32_e_i;p50_s_fx;p68_s_fx;p32_s_fx;p50_s_inf;p68_s_inf;p32_s_inf;p50_s_i;p68_s_i;p32_s_i;p50_i_inf;p68_i_inf;p32_i_inf;p50_i_fx;p68_i_fx;p32_i_fx;p50_i_sent;p68_i_sent;p32_i_sent
11;0.026549437;0.110289544;-0.059489862;0.09151418;0.164249392;0.015115644;0.016728054;0.028174803;0.004636101;0.095069191;0.150446971;0.038958575;-0.050198595;-0.020610895;-0.079898023;0.001600562;0.009745172;-0.006343829;0.167848454;0.230388754;0.105432978;-0.067041094;-0.02994291;-0.104979415;-0.0128828;-0.003085077;-0.022875305;0.304462192;0.439818763;0.165135354;-1.026066512;-0.791181806;-1.256252932;-0.563829128;-0.307881605;-0.828051658
12;0.044687879;0.131191795;-0.044092025;0.123129539;0.195747129;0.047345358;0.012764902;0.024508667;0.000605978;0.097175259;0.154434279;0.039408295;-0.043317331;-0.014343764;-0.072710023;0.000951363;0.009183927;-0.007150406;0.17876722;0.243330105;0.114963339;-0.070153564;-0.032008788;-0.108686929;-0.013686443;-0.00342454;-0.024103213;0.271173089;0.398902391;0.143359445;-0.939161854;-0.719464544;-1.161401575;-0.495323625;-0.242152016;-0.761080559
13;0.062468479;0.152089306;-0.028079897;0.15375662;0.227426233;0.078073237;0.009612175;0.021784372;-0.002758374;0.100196056;0.158719763;0.041094345;-0.036386106;-0.007730012;-0.065269409;1.21121E-05;0.008400009;-0.008209819;0.190618459;0.256970912;0.125635217;-0.072515046;-0.033794299;-0.111634333;-0.014258592;-0.003620986;-0.025119171;0.236566391;0.354719864;0.118937954;-0.850886334;-0.644455155;-1.056885845;-0.42533202;-0.173245798;-0.688099236
14;0.080745729;0.172370277;-0.012475538;0.183903881;0.257190406;0.10831605;0.007583059;0.020032059;-0.005228265;0.105989447;0.165542789;0.045680746;-0.030459058;-0.002143479;-0.058813479;-0.000979146;0.007587459;-0.00938768;0.202345609;0.269947462;0.13651173;-0.07440322;-0.035287137;-0.113939481;-0.014531614;-0.003562057;-0.025950473;0.200788544;0.310225478;0.092551029;-0.766327895;-0.568647249;-0.959721261;-0.363038142;-0.112747265;-0.621353667
15;0.096712921;0.191792807;0.002308771;0.212287331;0.286259436;0.136942478;0.006223356;0.019214299;-0.006900373;0.114502401;0.174966115;0.052525366;-0.025398163;0.002311709;-0.05335985;-0.002002125;0.006903669;-0.010698276;0.212148037;0.280497057;0.144568072;-0.075963475;-0.03700054;-0.115941867;-0.014607376;-0.003301724;-0.026489606;0.169485934;0.27257094;0.068645093;-0.692305263;-0.503395439;-0.87749543;-0.312788179;-0.063694418;-0.562703611
16;0.111235062;0.208454699;0.016266777;0.238860844;0.313420345;0.163343033;0.005024102;0.018453494;-0.00850737;0.123411078;0.185115367;0.060343893;-0.021450363;0.006034939;-0.048909166;-0.002848826;0.006138133;-0.012016727;0.220096912;0.289345062;0.152703357;-0.076845071;-0.037223722;-0.117187523;-0.014684355;-0.002923292;-0.026895206;0.142819047;0.240971045;0.046180033;-0.629046457;-0.449378435;-0.810722053;-0.266261134;-0.017285492;-0.512306875
17;0.124984932;0.224341153;0.027838616;0.264409536;0.339826088;0.188370697;0.003784732;0.017712198;-0.010301956;0.13223763;0.195402628;0.068161628;-0.017903776;0.00972948;-0.04511727;-0.003453333;0.005667273;-0.012970711;0.227525532;0.297414962;0.159371512;-0.077417233;-0.037263828;-0.117684371;-0.014668359;-0.002551708;-0.027335688;0.119584021;0.215304587;0.027022952;-0.582854396;-0.407258624;-0.76207739;-0.225270505;0.022801313;-0.472493985
18;0.137460115;0.238407285;0.038501036;0.290384061;0.367719859;0.212726699;0.002594692;0.01694484;-0.011800689;0.140722451;0.205354076;0.075632696;-0.01446595;0.013353953;-0.041388849;-0.004055002;0.005272257;-0.01380911;0.234656966;0.305304459;0.165767404;-0.077487425;-0.037241208;-0.117553203;-0.014673737;-0.002130004;-0.027628907;0.099709811;0.191632267;0.009279854;-0.550180251;-0.374661674;-0.729511178;-0.18938386;0.055681785;-0.433527612
19;0.149206673;0.252024528;0.049084941;0.315310625;0.394859119;0.23672994;0.001573573;0.01624164;-0.013312099;0.148821008;0.215306066;0.082848477;-0.011125766;0.016926204;-0.038258726;-0.004701542;0.00489239;-0.014646465;0.241693392;0.31294781;0.171942868;-0.076867995;-0.03696835;-0.117188008;-0.014723061;-0.001773336;-0.027851477;0.080815581;0.171202571;-0.006358542;-0.523375532;-0.346422945;-0.703110686;-0.156580076;0.089821158;-0.400379751
20;0.160592632;0.264991596;0.057813306;0.339693991;0.420987039;0.259959899;0.000528501;0.015606432;-0.014849519;0.157298929;0.225946109;0.090421227;-0.007902112;0.020322134;-0.035381803;-0.005326168;0.004575991;-0.015407576;0.247972658;0.319995262;0.177428724;-0.076022561;-0.03612869;-0.116097321;-0.014559471;-0.001287929;-0.027999151;0.063943955;0.152761499;-0.021516856;-0.499062217;-0.321459521;-0.680445453;-0.128080476;0.118004391;-0.370498334
21;0.171363962;0.277673395;0.065924417;0.362984063;0.44655412;0.281566334;-0.000644458;0.014756802;-0.016305276;0.165603063;0.235685812;0.09823266;-0.004697219;0.023733064;-0.032389216;-0.005831865;0.004270512;-0.016065773;0.253497841;0.327009314;0.181668485;-0.07490584;-0.035554195;-0.114869985;-0.014557272;-0.000805743;-0.028086672;0.04853222;0.136151965;-0.035401506;-0.476689874;-0.299381968;-0.660131735;-0.102830403;0.144449047;-0.344299522
22;0.181507081;0.290403422;0.073586178;0.386463389;0.470972901;0.302853529;-0.001816109;0.013936511;-0.017786269;0.173173563;0.245209955;0.104529752;-0.001444392;0.027163975;-0.029533562;-0.006301463;0.003939317;-0.016694744;0.2584861;0.332547569;0.185836561;-0.073505081;-0.034450577;-0.113320911;-0.014371197;-0.000459888;-0.028122052;0.035056004;0.121570594;-0.04901397;-0.455831805;-0.279604301;-0.640864482;-0.079704049;0.168100612;-0.320355975
23;0.191760272;0.301940929;0.079818351;0.408883627;0.495061752;0.324096504;-0.002930753;0.013147322;-0.019213014;0.181054935;0.254276418;0.110783376;0.001848501;0.030586357;-0.026750477;-0.006753003;0.003692495;-0.017318156;0.263142523;0.338060209;0.189272549;-0.072063406;-0.033143656;-0.111865718;-0.01426139;-5.32973E-05;-0.028271709;0.021944314;0.107357972;-0.061083897;-0.437442117;-0.260136591;-0.621011003;-0.056226733;0.191623834;-0.295783648
24;0.201342386;0.313685994;0.087194743;0.431516369;0.519924554;0.344080654;-0.003986455;0.012410208;-0.020518599;0.188020067;0.263064215;0.116633921;0.00502972;0.034137529;-0.023830193;-0.007193051;0.003421571;-0.017906726;0.267955439;0.343420046;0.192349049;-0.070749646;-0.031945696;-0.110163528;-0.014061346;0.000304001;-0.028336034;0.009772607;0.094055916;-0.072104554;-0.419219411;-0.240973905;-0.602423291;-0.033394237;0.21306819;-0.276415985
25;0.210486599;0.32501718;0.093740933;0.453590685;0.54406264;0.364158092;-0.005047577;0.011676474;-0.021819725;0.195661544;0.27144995;0.12227563;0.008226683;0.037550412;-0.021108356;-0.007566421;0.003162352;-0.018444993;0.271985835;0.348669112;0.19491659;-0.0691223;-0.030329088;-0.108336371;-0.013783582;0.000650867;-0.028216525;-0.001611598;0.081198641;-0.082731534;-0.400488846;-0.222710279;-0.582653402;-0.014620193;0.23173332;-0.25737193
26;0.218809083;0.334959406;0.10004213;0.475279194;0.567856326;0.383614581;-0.005907171;0.011007132;-0.022994932;0.202673371;0.279389561;0.128263647;0.011332342;0.040908618;-0.018106951;-0.007963801;0.002925569;-0.018994759;0.276136305;0.3535901;0.197998571;-0.067411907;-0.02856105;-0.106220809;-0.013550456;0.000961886;-0.02814853;-0.012545623;0.069937474;-0.092479831;-0.381828596;-0.203535224;-0.564647592;0.002232674;0.249087743;-0.24077956
27;0.227372816;0.346322214;0.10684789;0.496841393;0.591151657;0.402893314;-0.006771054;0.010298462;-0.024169914;0.2094426;0.287263477;0.133002178;0.014267396;0.044357082;-0.015318597;-0.008315264;0.00272013;-0.019496152;0.279101715;0.357642784;0.200272879;-0.065440743;-0.02688144;-0.104338779;-0.013326642;0.001266593;-0.028007547;-0.022473356;0.059180006;-0.101611291;-0.364391299;-0.186191882;-0.547395607;0.01785664;0.264915129;-0.225209319
28;0.235500629;0.356099382;0.113325212;0.518170254;0.614357599;0.42221883;-0.007652228;0.00972057;-0.025152782;0.21574364;0.294918302;0.138000995;0.017300372;0.047633095;-0.012677891;-0.008616145;0.002467842;-0.019981752;0.282597531;0.361372262;0.202177392;-0.06349823;-0.025071877;-0.102573946;-0.013080151;0.001571913;-0.02780504;-0.03128056;0.048845362;-0.109939314;-0.348422679;-0.169724269;-0.531971304;0.033693235;0.279236031;-0.213260218
29;0.243548308;0.36707283;0.120373688;0.538974553;0.636999717;0.441752941;-0.00847072;0.009081625;-0.026075601;0.221931779;0.302360576;0.142626321;0.020501835;0.051101302;-0.010205157;-0.008942031;0.002260908;-0.020409144;0.285063939;0.364225565;0.204175484;-0.061619875;-0.023166989;-0.10086619;-0.012841439;0.001778579;-0.027562604;-0.040484539;0.040284371;-0.117834761;-0.333161805;-0.155086837;-0.515840845;0.046275746;0.291409213;-0.201031465
30;0.251308862;0.377801552;0.126324172;0.5595084;0.658844851;0.459698234;-0.009199003;0.008624376;-0.026893241;0.227373102;0.309826117;0.146648567;0.023560931;0.054496697;-0.007493364;-0.009257469;0.002033022;-0.020803635;0.287803197;0.36782845;0.205879814;-0.059473095;-0.021176605;-0.099227683;-0.012597004;0.002014069;-0.027345745;-0.048043375;0.032106843;-0.125158446;-0.318989056;-0.140695752;-0.501343765;0.057685235;0.301784157;-0.190195545
31;0.259706474;0.387791664;0.13241166;0.579407469;0.680639529;0.478552982;-0.009891786;0.008186982;-0.027768043;0.232909487;0.31639715;0.151053057;0.026430817;0.057783576;-0.004938437;-0.009536218;0.00187148;-0.021151232;0.290090686;0.370648182;0.207282626;-0.057527442;-0.019318921;-0.097389524;-0.012317625;0.00221449;-0.027053772;-0.055191116;0.024640975;-0.132075615;-0.306347531;-0.128478217;-0.487089386;0.066259305;0.310605247;-0.180610081
32;0.267603487;0.397573385;0.138396411;0.598955305;0.702356066;0.49652697;-0.010507345;0.007743;-0.028571011;0.238147843;0.323134633;0.155204416;0.029429372;0.061049158;-0.002595652;-0.00978821;0.001708431;-0.021455348;0.29230031;0.37328989;0.208533145;-0.055504242;-0.017350171;-0.095447358;-0.012070354;0.002377035;-0.026741674;-0.061927243;0.017770885;-0.138603772;-0.294758262;-0.117271302;-0.474138512;0.075405081;0.316205646;-0.170703242
33;0.274852802;0.407446486;0.144478399;0.618298271;0.723790871;0.514049046;-0.01116455;0.007265048;-0.029346827;0.243147935;0.329158825;0.158876005;0.032357608;0.064189123;-8.44627E-05;-0.010008564;0.001562232;-0.02178072;0.293612358;0.375368752;0.209365471;-0.053433311;-0.01556808;-0.093574756;-0.011769697;0.00248156;-0.026417489;-0.067895096;0.011554142;-0.144385679;-0.28416689;-0.10715564;-0.461901289;0.082446085;0.321415091;-0.162055327
