Day;p50_inf_sent;p68_inf_sent;p32_inf_sent;p50_inf_fx;p68_inf_fx;p32_inf_fx;p50_inf_i;p68_inf_i;p32_inf_i;p50_e_sent;p68_e_sent;p32_e_sent;p50_e_inf;p68_e_inf;p32_e_inf;p50_e_i;p68_e_i;p32_e_i;p50_s_fx;p68_s_fx;p32_s_fx;p50_s_inf;p68_s_inf;p32_s_inf;p50_s_i;p68_s_i;p32_s_i;p50_i_inf;p68_i_inf;p32_i_inf;p50_i_fx;p68_i_fx;p32_i_fx;p50_i_sent;p68_i_sent;p32_i_sent
54;0.411524493;0.577761832;0.247698483;0.967001635;1.106464305;0.826870665;-0.020345978;0.000502842;-0.040918915;0.297255275;0.397814919;0.19882607;0.085315961;0.123484923;0.044854666;-0.012493131;-0.000602786;-0.024640854;0.295308545;0.383120628;0.211597526;-0.015835071;0.021938366;-0.056410646;-0.007696777;0.002265619;-0.018440543;-0.125711805;-0.056881246;-0.192067327;-0.189035977;-0.049542243;-0.335669871;0.066103858;0.226741377;-0.095448716
55;0.417405207;0.584299391;0.252419301;0.981027463;1.122834199;0.839281916;-0.020613217;0.000315149;-0.041356839;0.298451832;0.399224041;0.199579897;0.087509043;0.126020235;0.046835884;-0.012537707;-0.000671093;-0.02473361;0.294577983;0.382403884;0.210998718;-0.014256446;0.023568321;-0.054802518;-0.007596732;0.002216498;-0.01811193;-0.126488634;-0.058168523;-0.19226495;-0.188348801;-0.050514683;-0.33335577;0.062029145;0.218706998;-0.0947644
56;0.422946754;0.591668235;0.257038915;0.994988127;1.139257386;0.851503901;-0.020878673;0.000113285;-0.04170894;0.2995827;0.400528916;0.200071602;0.089733448;0.128529186;0.048491414;-0.012579796;-0.000747574;-0.024793919;0.29355728;0.381330751;0.210661798;-0.01280748;0.02498191;-0.053214902;-0.007445124;0.002138349;-0.017755501;-0.127171816;-0.059295743;-0.192695179;-0.18815079;-0.051188082;-0.331438443;0.057911021;0.211179833;-0.09459359
57;0.429010285;0.599295684;0.261707801;1.009093371;1.154622913;0.864148292;-0.021168902;-0.000122708;-0.042133091;0.300489691;0.401730829;0.200908721;0.091817925;0.131128553;0.050250089;-0.012616298;-0.000774452;-0.024834734;0.292725909;0.380067962;0.210351293;-0.011306349;0.026307989;-0.051631512;-0.007376905;0.002099408;-0.017430471;-0.127844036;-0.060561745;-0.192731635;-0.187592251;-0.052637591;-0.329339053;0.053969337;0.202989537;-0.095007741
58;0.434784697;0.606126793;0.267112007;1.023340011;1.16996825;0.875918112;-0.021535725;-0.00025596;-0.042515635;0.301285395;0.40303976;0.201606747;0.093951484;0.133484742;0.05194813;-0.012685685;-0.000838572;-0.024824974;0.291858846;0.378977423;0.209964669;-0.009786535;0.027755809;-0.050218299;-0.007242955;0.001978962;-0.017133077;-0.12834316;-0.06176745;-0.19261483;-0.186843873;-0.05394348;-0.327534715;0.049163965;0.194756481;-0.094539986
59;0.440977966;0.61281517;0.2721527;1.036766388;1.184824425;0.888133057;-0.021868581;-0.000467465;-0.042943022;0.302035511;0.404133396;0.202136378;0.096053916;0.135731678;0.053724466;-0.012709416;-0.000859327;-0.024884975;0.291183668;0.377980424;0.209491648;-0.008328583;0.029071054;-0.048721969;-0.007134553;0.001914768;-0.016829852;-0.128813712;-0.06262817;-0.19268987;-0.186570516;-0.055000437;-0.325969125;0.045002627;0.187300413;-0.09496927
60;0.446453652;0.619246367;0.2761353;1.050186692;1.199724633;0.899956988;-0.022135545;-0.000660138;-0.043422827;0.302669617;0.404940614;0.202623767;0.098193629;0.138108321;0.055488052;-0.012766203;-0.000886666;-0.024916142;0.290661057;0.376917356;0.208969888;-0.006964969;0.030454344;-0.047347788;-0.007055082;0.001854228;-0.016537188;-0.129111696;-0.063589967;-0.192619389;-0.187267867;-0.056292579;-0.324478298;0.041620312;0.17965888;-0.095430672
61;0.45236814;0.625562041;0.279965912;1.063169433;1.215453986;0.911538317;-0.022397097;-0.000864247;-0.043811788;0.303466081;0.406049919;0.20273103;0.100207623;0.140527416;0.057227634;-0.012793423;-0.000953357;-0.024944225;0.289481429;0.375648361;0.208166485;-0.005628295;0.031861291;-0.045826653;-0.006914834;0.00179917;-0.016261141;-0.129258462;-0.064433591;-0.192508317;-0.187631;-0.058266726;-0.323688065;0.037355905;0.171833592;-0.09538214
62;0.458162184;0.632257034;0.284770655;1.075996316;1.229672474;0.923021167;-0.022691855;-0.001079621;-0.044220336;0.303935697;0.406809383;0.203114634;0.102186788;0.142756702;0.058910406;-0.012827489;-0.000961159;-0.024945675;0.288345896;0.374666253;0.207398912;-0.004336669;0.033213364;-0.044254617;-0.00680266;0.001752891;-0.015994538;-0.129471699;-0.065234553;-0.192306095;-0.188358604;-0.059965234;-0.322361766;0.032495882;0.16424528;-0.096110649
63;0.463570157;0.638526371;0.28933343;1.088400584;1.244315958;0.934241871;-0.022949103;-0.001218508;-0.044703847;0.30462424;0.407280827;0.203293677;0.104158547;0.145000861;0.060453527;-0.012877264;-0.000999829;-0.02494461;0.287404089;0.373399553;0.206852432;-0.002904251;0.034283193;-0.042982059;-0.00668488;0.001640606;-0.015716787;-0.129868288;-0.065991265;-0.192206191;-0.188913974;-0.061339216;-0.321374341;0.028554784;0.156597667;-0.097183695
64;0.469056481;0.645271293;0.294277111;1.101730566;1.258830793;0.945346168;-0.023185593;-0.001322153;-0.04517571;0.304835428;0.4078963;0.203810828;0.106074594;0.147410568;0.062156739;-0.012914769;-0.001047049;-0.024987839;0.286688202;0.372294398;0.206482736;-0.001694763;0.035647217;-0.041705768;-0.006560492;0.001558623;-0.015479772;-0.129769508;-0.066784831;-0.191818152;-0.189162018;-0.063335655;-0.320794869;0.02456314;0.14910243;-0.098007957
65;0.475219051;0.651635071;0.298005856;1.113565604;1.273484959;0.956189383;-0.02341522;-0.00146679;-0.045536433;0.305237119;0.408271803;0.204076041;0.108029292;0.149728806;0.063870559;-0.012946436;-0.001070369;-0.02500574;0.285980708;0.371320839;0.206101343;-0.000457132;0.036813625;-0.04050005;-0.006470272;0.001475443;-0.01517854;-0.129962929;-0.067232704;-0.191577068;-0.189160188;-0.065293479;-0.320239027;0.021212963;0.141522614;-0.098513108
66;0.480105797;0.658213376;0.302115295;1.125826949;1.287143821;0.96745941;-0.023701851;-0.001649551;-0.045992085;0.305677456;0.408986256;0.204437811;0.109785207;0.152005028;0.065451551;-0.012984257;-0.001090024;-0.025009754;0.285178166;0.370165035;0.20556774;0.000772961;0.037920436;-0.039244235;-0.006389739;0.001436702;-0.014944914;-0.130150562;-0.067634891;-0.191453977;-0.190024407;-0.067461529;-0.319849794;0.017126629;0.135524904;-0.099479266
67;0.484976304;0.66502156;0.306480482;1.138243821;1.300819843;0.978645933;-0.023901304;-0.001790991;-0.046330644;0.306087931;0.409557953;0.204726273;0.11164593;0.154121653;0.067050907;-0.013018634;-0.001128813;-0.02502112;0.284327387;0.36915846;0.205337894;0.002018369;0.038984403;-0.037932385;-0.006301475;0.001372443;-0.014694748;-0.130220173;-0.068209228;-0.191023631;-0.190469354;-0.069446418;-0.319159828;0.013065311;0.128267186;-0.099998288
68;0.490624016;0.671390786;0.311209795;1.150696732;1.314796314;0.989040092;-0.024142996;-0.001984406;-0.046788771;0.306311212;0.409714989;0.205038713;0.113647995;0.156262196;0.06859509;-0.013030161;-0.001174879;-0.0250493;0.28336908;0.368016111;0.204879067;0.003218524;0.040133262;-0.036595153;-0.006227939;0.001267297;-0.014453846;-0.13022382;-0.068572842;-0.190638388;-0.191220413;-0.071097678;-0.318902704;0.009242155;0.120970947;-0.100322146
69;0.495473709;0.678151441;0.316117643;1.163128547;1.32873806;0.999826171;-0.024333806;-0.002191418;-0.04714381;0.306165612;0.410244768;0.205439683;0.115474928;0.158325809;0.070218873;-0.013053837;-0.001161747;-0.025068564;0.282566035;0.366924078;0.204302032;0.004412699;0.04122776;-0.035342673;-0.00615753;0.001185739;-0.014235781;-0.130001446;-0.068957952;-0.190117872;-0.19213596;-0.073322052;-0.318434218;0.005709704;0.114586191;-0.100960154
70;0.500445336;0.684603199;0.320353311;1.174785454;1.341747792;1.010444742;-0.024521583;-0.002415926;-0.047504234;0.306665062;0.41040194;0.205935853;0.117294895;0.16034236;0.071739889;-0.013041621;-0.0011815;-0.025047056;0.281515657;0.365790426;0.203763068;0.005573154;0.042217434;-0.034115778;-0.006069913;0.001097664;-0.014026432;-0.129889489;-0.069310574;-0.189554211;-0.193803775;-0.075574484;-0.318489116;0.002196759;0.108359476;-0.102117363
71;0.50533894;0.691630518;0.324048819;1.187062497;1.355290738;1.020562972;-0.024791306;-0.002532088;-0.047866821;0.306705432;0.410853098;0.205956305;0.119256926;0.162429255;0.073228675;-0.013044901;-0.001190439;-0.025067027;0.280643944;0.364455249;0.203057245;0.00665619;0.043307023;-0.032870405;-0.00598657;0.001051538;-0.013849547;-0.129860898;-0.069753192;-0.18907941;-0.194643367;-0.07735284;-0.318020308;-0.001088934;0.101887771;-0.103085518
72;0.510631725;0.698447193;0.327823225;1.198704464;1.368661079;1.031100029;-0.02504588;-0.002640773;-0.048248639;0.306794066;0.411626764;0.206007017;0.121010835;0.164472688;0.07483766;-0.013075688;-0.001225799;-0.025081539;0.279608364;0.363487584;0.202540281;0.00782071;0.044506451;-0.031632242;-0.005928366;0.001000442;-0.013663688;-0.129925592;-0.070335902;-0.188640223;-0.19580394;-0.079717985;-0.318411729;-0.004841114;0.095642186;-0.104369481
73;0.515678937;0.704722681;0.331150832;1.210664916;1.382464666;1.041149763;-0.025253663;-0.002711625;-0.048595719;0.306806859;0.412173787;0.206010439;0.122797893;0.166523838;0.076390236;-0.013094761;-0.001236897;-0.025112921;0.278718604;0.362440801;0.201980941;0.008912586;0.045388084;-0.030569665;-0.005856629;0.000946603;-0.013492409;-0.12977588;-0.070883667;-0.18820567;-0.197020541;-0.081891759;-0.319207005;-0.007984869;0.090294262;-0.105501336
74;0.520811171;0.710996409;0.334816861;1.22180639;1.395908723;1.051256498;-0.025467659;-0.002807566;-0.048898756;0.307022332;0.412257616;0.205804549;0.124612378;0.168622601;0.077735523;-0.013117633;-0.001295234;-0.025143315;0.278236499;0.36150768;0.201570645;0.01007045;0.046414075;-0.029445371;-0.005775468;0.000902071;-0.013277054;-0.12974395;-0.071149542;-0.187478177;-0.19850049;-0.083732608;-0.319225883;-0.011836323;0.084536415;-0.106571254
75;0.525026169;0.71668306;0.338547419;1.233433844;1.409450761;1.061154163;-0.025717713;-0.002892824;-0.049271542;0.307360958;0.412373184;0.205949486;0.126394662;0.170605518;0.079179662;-0.013130603;-0.0013116;-0.025168652;0.277270652;0.36023542;0.200988162;0.011177268;0.047310141;-0.028244539;-0.005691922;0.000872307;-0.013140579;-0.12973351;-0.071621115;-0.187025483;-0.199682791;-0.08578558;-0.319672538;-0.014651165;0.079562898;-0.1081389
76;0.529517926;0.722928484;0.342903722;1.244445049;1.422723394;1.071156555;-0.025884383;-0.002981363;-0.049640918;0.307639572;0.412747855;0.206131293;0.128030421;0.17257313;0.080551112;-0.013124572;-0.001332317;-0.025166296;0.276268585;0.359104085;0.200483914;0.012265375;0.048286263;-0.027062605;-0.005638006;0.00083311;-0.01295563;-0.129442514;-0.071881471;-0.186587762;-0.200953265;-0.087792842;-0.320307949;-0.017458672;0.075026197;-0.109401891
77;0.534510576;0.729300378;0.34683809;1.255552371;1.435850415;1.080708158;-0.026059016;-0.003081746;-0.04992;0.307613045;0.413005239;0.206263456;0.129707766;0.174628674;0.082118407;-0.013132245;-0.001329301;-0.025207303;0.275286749;0.357986339;0.199957892;0.013289811;0.049324708;-0.025895011;-0.005592264;0.000785446;-0.012782749;-0.12927233;-0.072035873;-0.186087704;-0.202120382;-0.090079203;-0.32102507;-0.020199646;0.070313794;-0.110776221
78;0.540103373;0.734772271;0.351051694;1.266514106;1.448874107;1.090182272;-0.02628176;-0.003168267;-0.050267082;0.307976956;0.413237038;0.206386077;0.131373334;0.176469224;0.083441313;-0.013128912;-0.001346409;-0.02518026;0.274241321;0.356907136;0.199423881;0.014367298;0.0502621;-0.024809706;-0.005561813;0.000761657;-0.012594654;-0.129264318;-0.07234161;-0.185611623;-0.203405817;-0.092163896;-0.321534521;-0.022841025;0.065802811;-0.111697768
79;0.544529072;0.741074614;0.355026263;1.277803234;1.461331242;1.099600468;-0.026480133;-0.00332111;-0.050617806;0.308290702;0.413890783;0.206263043;0.132918758;0.178326231;0.084859543;-0.013142095;-0.001365379;-0.02520318;0.273100414;0.355644041;0.1988978;0.015434308;0.051290261;-0.023809213;-0.00550907;0.000734194;-0.012431583;-0.12901674;-0.072558802;-0.184938307;-0.204780232;-0.094371438;-0.322139315;-0.026066214;0.061412975;-0.112729314
80;0.549703064;0.74709439;0.35840624;1.288316204;1.473491597;1.109163809;-0.026650106;-0.003406782;-0.050973206;0.308230716;0.413863995;0.206240556;0.134623063;0.18022263;0.08616668;-0.013135973;-0.001381382;-0.025222421;0.272115556;0.354743252;0.198416139;0.016480193;0.052261592;-0.022693332;-0.005456429;0.000704238;-0.012286947;-0.128701387;-0.072776611;-0.184439459;-0.206201604;-0.096302466;-0.32240694;-0.028968686;0.056978256;-0.113897915
81;0.553806088;0.753711476;0.362255053;1.298611402;1.486199519;1.11790651;-0.026838695;-0.003523068;-0.051344621;0.308619607;0.414078511;0.206277385;0.136293704;0.182101741;0.087520853;-0.013167375;-0.001382786;-0.02523896;0.271462863;0.353512618;0.197880308;0.017501085;0.053024358;-0.02172651;-0.005398726;0.000677432;-0.012155313;-0.128433975;-0.072923461;-0.184081072;-0.207661359;-0.097595772;-0.32377391;-0.031530171;0.052670293;-0.115352704
82;0.55836592;0.760025998;0.366503269;1.309110047;1.498906515;1.12700874;-0.027056838;-0.00365423;-0.051712873;0.308604607;0.414539351;0.206399934;0.137872911;0.18401672;0.088970467;-0.013194922;-0.001373467;-0.025256717;0.270510757;0.352480263;0.197627727;0.018466963;0.053921097;-0.02082602;-0.005339354;0.000641896;-0.012008634;-0.128413443;-0.073158572;-0.183704784;-0.208968052;-0.099768805;-0.324956397;-0.034016869;0.048549741;-0.116637065
83;0.562943098;0.76623823;0.3694234;1.319819326;1.511357517;1.136604542;-0.027344265;-0.003716869;-0.052066512;0.308697768;0.414765307;0.206430122;0.139577339;0.185823854;0.090227177;-0.013209941;-0.001369297;-0.025251435;0.26975325;0.351656623;0.197247259;0.019429637;0.054725114;-0.019837403;-0.005303941;0.000613668;-0.011897472;-0.128282405;-0.073377483;-0.183236287;-0.210403831;-0.101932383;-0.325739107;-0.036258807;0.044854693;-0.117655058
84;0.567980052;0.771993871;0.372685771;1.330620943;1.523599332;1.14510114;-0.027503086;-0.003787254;-0.052344691;0.30888991;0.415356086;0.206677516;0.141189838;0.187717484;0.091564755;-0.013205959;-0.001394779;-0.025274991;0.268927986;0.350752986;0.196929044;0.02035421;0.055518208;-0.018956202;-0.00524769;0.000565238;-0.011768027;-0.128043973;-0.073512954;-0.182689706;-0.211925828;-0.103985264;-0.326787458;-0.038446318;0.040800805;-0.11831588
85;0.572046992;0.77817002;0.376052117;1.34097761;1.536108709;1.153876501;-0.027722574;-0.003904413;-0.052779152;0.308937241;0.41567168;0.206908992;0.142804754;0.189495369;0.092933546;-0.01325755;-0.001413168;-0.025277893;0.268148912;0.349692274;0.19642463;0.021215195;0.056351655;-0.017927166;-0.005213724;0.000539781;-0.011618435;-0.127863746;-0.073575293;-0.182103677;-0.213575791;-0.106061913;-0.327597689;-0.040412419;0.037431092;-0.119897778
86;0.576943367;0.78402983;0.379123169;1.351613678;1.548047648;1.162341298;-0.027928982;-0.004013986;-0.053096921;0.309042375;0.416089127;0.206778936;0.144303976;0.191341671;0.094184947;-0.013282745;-0.001449124;-0.02528745;0.267296573;0.348455889;0.196090205;0.022124236;0.057182003;-0.016891858;-0.005168274;0.000512739;-0.011522626;-0.127796575;-0.073648726;-0.181698267;-0.215105961;-0.107804541;-0.32870861;-0.042339275;0.034318723;-0.121099637
87;0.581506777;0.789522509;0.382765304;1.361981537;1.560284885;1.171062024;-0.028107327;-0.004059853;-0.053448634;0.309136379;0.416269601;0.206756691;0.145763079;0.193052206;0.095489065;-0.013304639;-0.001470959;-0.025297382;0.266891316;0.347583059;0.195623068;0.023023422;0.057957573;-0.01588048;-0.005110458;0.000479101;-0.011387249;-0.127668947;-0.073650432;-0.181144608;-0.21649276;-0.110129043;-0.329856902;-0.044394848;0.031240031;-0.122537067
88;0.5865029;0.795708274;0.386733432;1.372351575;1.57213792;1.179136047;-0.028334677;-0.004241138;-0.053823135;0.30900784;0.416557871;0.206726065;0.147317584;0.194729413;0.096651519;-0.013300371;-0.00146976;-0.02533188;0.266126227;0.346625066;0.195345766;0.024032707;0.058614112;-0.014984318;-0.005068751;0.000450557;-0.011263492;-0.127436972;-0.07386098;-0.180633609;-0.217915026;-0.112209006;-0.330944731;-0.046540347;0.028181672;-0.123894676
89;0.591206108;0.801207817;0.389965645;1.382516068;1.584631285;1.187837983;-0.028515348;-0.00432844;-0.054130535;0.309021896;0.417036095;0.206587046;0.148899785;0.196542156;0.097931778;-0.013315093;-0.001480701;-0.0253453;0.265347122;0.345519647;0.194851246;0.024863518;0.059388721;-0.014039694;-0.005028276;0.000426594;-0.011125808;-0.127261714;-0.074146312;-0.180121396;-0.219591925;-0.114585725;-0.332194122;-0.048644995;0.025141166;-0.12448522
90;0.595663346;0.806915306;0.393469394;1.392365419;1.597035606;1.196255301;-0.028735912;-0.004346651;-0.054432965;0.309491848;0.417037913;0.206745747;0.150460649;0.198296706;0.099194797;-0.01329749;-0.001491941;-0.025364075;0.264547126;0.344788398;0.194210018;0.025736763;0.060155643;-0.013112226;-0.004985786;0.000413481;-0.011017467;-0.127064188;-0.074204435;-0.179816356;-0.221219097;-0.116123608;-0.333523013;-0.050274309;0.022405279;-0.125828477
91;0.599544814;0.813228504;0.396789111;1.402932284;1.607822398;1.204601127;-0.028858148;-0.00437543;-0.054837592;0.309635317;0.417168345;0.20683123;0.151934412;0.199933009;0.100604955;-0.013313684;-0.001506851;-0.025381255;0.263933087;0.344239883;0.193682822;0.026598994;0.061052571;-0.012189347;-0.004975915;0.000411855;-0.010938332;-0.126881529;-0.074274013;-0.179453131;-0.222778406;-0.118272157;-0.334781013;-0.052365147;0.019590183;-0.127105217
92;0.603332651;0.818341801;0.400266449;1.412703827;1.620291381;1.212860042;-0.029066217;-0.004396368;-0.055129356;0.309562255;0.417503741;0.206816071;0.153391995;0.201604413;0.101863589;-0.0133591;-0.001522797;-0.02537565;0.2633198;0.343390002;0.19336296;0.027522806;0.061783851;-0.011319341;-0.004945694;0.000408233;-0.010843268;-0.126753728;-0.074569299;-0.179136062;-0.224383897;-0.120273922;-0.33589871;-0.054493475;0.016693655;-0.128252834
93;0.607529123;0.823692367;0.40368342;1.422079239;1.632150142;1.221013206;-0.029241106;-0.004418306;-0.055402189;0.30989498;0.417673778;0.207036476;0.154692171;0.203379508;0.103134423;-0.013353037;-0.001549927;-0.025402286;0.262543241;0.342826964;0.193000794;0.028281462;0.062511954;-0.010313929;-0.004920898;0.000391891;-0.010762541;-0.126392308;-0.07464641;-0.178864891;-0.225574305;-0.122040971;-0.337495638;-0.055971461;0.014400123;-0.129355018
94;0.611703961;0.829226025;0.406445258;1.431585904;1.643935982;1.229240015;-0.029409051;-0.004534864;-0.055663267;0.309994387;0.417773631;0.207205348;0.156065995;0.205017524;0.104301546;-0.013375937;-0.001540121;-0.025424147;0.262222545;0.342340582;0.192423832;0.029106404;0.063147241;-0.009448729;-0.004892778;0.000385367;-0.010664601;-0.12630915;-0.074615272;-0.178371842;-0.22737235;-0.124192404;-0.339041976;-0.057489723;0.01224861;-0.130500412
95;0.616206036;0.836031796;0.409777;1.4414874;1.654897965;1.237125635;-0.029577968;-0.004612693;-0.055969476;0.309956978;0.418219641;0.207313077;0.157482588;0.206564192;0.105452109;-0.013403983;-0.001531393;-0.025413252;0.261546429;0.341737104;0.191812585;0.029745207;0.063868807;-0.008564265;-0.004829268;0.000389096;-0.010596877;-0.126056316;-0.074700431;-0.178120719;-0.228832712;-0.12595899;-0.340061534;-0.059139363;0.009733928;-0.13220618
96;0.620667828;0.84208064;0.412733408;1.451868415;1.666808524;1.245091251;-0.029756878;-0.004724508;-0.056232884;0.309893402;0.41897478;0.207344492;0.159013098;0.208277722;0.106565915;-0.01341519;-0.001545926;-0.025429058;0.261219636;0.341071241;0.191468669;0.030500985;0.06454914;-0.007531454;-0.004790377;0.00038702;-0.010504577;-0.125745057;-0.074622567;-0.177615547;-0.230701411;-0.127485055;-0.340991675;-0.060765808;0.007578562;-0.133199178
97;0.625270837;0.847333633;0.415617948;1.461845337;1.677991032;1.252640137;-0.029932705;-0.004782181;-0.056531832;0.310130988;0.419327413;0.20709069;0.160453534;0.209835464;0.107771625;-0.013443233;-0.0015387;-0.025418978;0.260599251;0.340372641;0.191263272;0.031185842;0.06517084;-0.006734538;-0.004770677;0.000389201;-0.010418867;-0.12554807;-0.074715754;-0.177568636;-0.232224545;-0.129286119;-0.342164553;-0.062334241;0.005033243;-0.134233935
98;0.629625373;0.85157011;0.418491223;1.471679371;1.689577921;1.260349087;-0.030071478;-0.004868235;-0.056842487;0.310204485;0.419728824;0.206962003;0.161915826;0.211361841;0.108892919;-0.013460385;-0.001576589;-0.025452759;0.2600465;0.339833836;0.190887435;0.032037121;0.065778104;-0.005868168;-0.004713929;0.000377259;-0.010338715;-0.125274453;-0.074686118;-0.177134813;-0.233922313;-0.131346528;-0.34353084;-0.063996783;0.002741334;-0.135699041
99;0.634418709;0.85755053;0.42207397;1.480821419;1.700842584;1.268603385;-0.03024238;-0.004950234;-0.057103221;0.310419467;0.420057502;0.207156709;0.163252993;0.213055222;0.109967185;-0.013486255;-0.001577839;-0.025453424;0.259829657;0.339178356;0.190350948;0.032719506;0.066431875;-0.005134587;-0.004691608;0.000367753;-0.010269373;-0.125056586;-0.074722972;-0.176699041;-0.235367518;-0.133540787;-0.345341179;-0.065402959;0.000687913;-0.136837789
100;0.638908643;0.862942089;0.426182917;1.489881784;1.712612962;1.276316091;-0.030362995;-0.004976897;-0.057423092;0.310415443;0.420403946;0.20736019;0.164531347;0.214649878;0.111033607;-0.013485681;-0.001582553;-0.025445485;0.259262993;0.338436372;0.18986191;0.033361403;0.06710962;-0.00437366;-0.004693316;0.000355336;-0.010188346;-0.124843557;-0.074817804;-0.176432226;-0.236950949;-0.135134759;-0.346842388;-0.06655079;-0.00115258;-0.137683224
101;0.643444793;0.868674763;0.429443905;1.49926611;1.723694;1.284634213;-0.030594068;-0.005056058;-0.057722373;0.310524185;0.42084411;0.207336139;0.165824547;0.21618948;0.112156823;-0.013503845;-0.001583105;-0.025457446;0.258881484;0.337963371;0.189631629;0.034055603;0.067707532;-0.003587514;-0.00465469;0.000350678;-0.010102083;-0.12445783;-0.074748634;-0.176111152;-0.238522412;-0.137163121;-0.348768534;-0.067624613;-0.003053537;-0.138785821
102;0.647837969;0.874387475;0.432460612;1.508269378;1.735381098;1.292193956;-0.030783764;-0.005092234;-0.058031282;0.310731663;0.421339929;0.207348686;0.167246524;0.217882653;0.113183265;-0.013517973;-0.001587952;-0.025497377;0.258351445;0.337251006;0.189154004;0.034731945;0.068208418;-0.002916517;-0.004630017;0.000327296;-0.010045418;-0.124280049;-0.074845316;-0.175784547;-0.239968545;-0.13887486;-0.35044807;-0.069181637;-0.005239062;-0.139722859
103;0.651591454;0.879530415;0.435546902;1.517303314;1.746475192;1.299939053;-0.031011541;-0.005130821;-0.058272243;0.311022217;0.421932889;0.207447431;0.16868063;0.219491078;0.114344794;-0.01352071;-0.001589201;-0.025510587;0.25779794;0.336828831;0.188713544;0.035411798;0.068969804;-0.002195532;-0.004601697;0.000310133;-0.009990296;-0.124117786;-0.074977232;-0.175546508;-0.241275188;-0.140883257;-0.351861792;-0.070373236;-0.006969047;-0.140592153
104;0.654995972;0.885334083;0.438869495;1.526480311;1.757632681;1.3077171;-0.031107616;-0.00520038;-0.058531059;0.311308101;0.42229064;0.207575713;0.170033811;0.221211732;0.115372666;-0.013530837;-0.001593101;-0.02551349;0.25727826;0.336224316;0.188483012;0.036126064;0.069503479;-0.001442596;-0.004574589;0.000285251;-0.009923936;-0.123880498;-0.074912138;-0.175254629;-0.242880693;-0.14271527;-0.353140405;-0.07174852;-0.008587946;-0.141692994
105;0.659591794;0.890868069;0.441666652;1.535650606;1.769214452;1.31515382;-0.031279527;-0.005246359;-0.058807536;0.311557726;0.422465543;0.207678436;0.17133062;0.222733767;0.116292632;-0.013552005;-0.001596154;-0.02552627;0.257044002;0.33580832;0.18829005;0.036819912;0.070122915;-0.000677464;-0.004550277;0.000273173;-0.009862521;-0.123750886;-0.074925493;-0.175053978;-0.244575432;-0.144593553;-0.354557021;-0.072838555;-0.009952088;-0.142886113
106;0.663422233;0.895817302;0.444095849;1.544202825;1.780509769;1.3229818;-0.031474944;-0.005252733;-0.059073377;0.311731291;0.423017388;0.207700437;0.172505908;0.224379537;0.117152785;-0.013562017;-0.001601264;-0.025518692;0.256589611;0.335218351;0.187905647;0.03741219;0.070622904;5.51953E-05;-0.004545014;0.000257042;-0.009846059;-0.123555178;-0.074869408;-0.174858305;-0.246280288;-0.146387679;-0.356278103;-0.074322441;-0.011409639;-0.144473466
107;0.667575402;0.902184544;0.447375318;1.553054785;1.792164207;1.330740584;-0.031660806;-0.005325082;-0.059357278;0.311882335;0.423471712;0.207953197;0.173771654;0.225867119;0.118147553;-0.013597966;-0.001628752;-0.025531189;0.256200379;0.334936905;0.187810973;0.037932819;0.071177622;0.000724824;-0.004510716;0.000232139;-0.009802938;-0.12341915;-0.074974082;-0.174600646;-0.247388252;-0.148430802;-0.358008502;-0.075621452;-0.013131267;-0.145635896
108;0.671476112;0.907349981;0.451362888;1.562638155;1.803002871;1.338035885;-0.031854214;-0.005377569;-0.059675732;0.312057295;0.423940405;0.208097003;0.175186061;0.227440722;0.119267348;-0.013600745;-0.001622059;-0.025545471;0.255963946;0.334600956;0.187593187;0.038659582;0.071770649;0.001469239;-0.004479206;0.000217513;-0.009743934;-0.12319667;-0.075026356;-0.17437977;-0.249039958;-0.150121018;-0.359722534;-0.076717153;-0.014727764;-0.146512204
109;0.675641295;0.913471691;0.453782398;1.571550589;1.813759662;1.344924999;-0.032049141;-0.005459242;-0.059976494;0.312232757;0.424253597;0.208342621;0.176565902;0.229022972;0.120248687;-0.013615088;-0.001637176;-0.025559775;0.255593901;0.334066373;0.187289656;0.039332044;0.072479911;0.002091386;-0.004453804;0.000207749;-0.009695497;-0.123062717;-0.074988061;-0.174005764;-0.250252128;-0.151869399;-0.361717929;-0.077698539;-0.016196704;-0.147481758
110;0.679745882;0.919040949;0.456939956;1.580257678;1.824985567;1.351854643;-0.032170892;-0.005482528;-0.060326868;0.312441649;0.424742424;0.208714394;0.178012577;0.230813862;0.121214294;-0.013622036;-0.001650624;-0.025594354;0.255176183;0.333421974;0.186906772;0.039921207;0.072990359;0.00277669;-0.00442298;0.000197278;-0.009652221;-0.122836582;-0.074939245;-0.173818812;-0.252120041;-0.153108653;-0.36335387;-0.078619341;-0.017805363;-0.148908184
111;0.684327176;0.924187318;0.460150527;1.589146001;1.836888917;1.359106227;-0.032380862;-0.005511848;-0.06060173;0.312817043;0.425257638;0.208727755;0.179333859;0.23225076;0.122072996;-0.013608758;-0.001650372;-0.025617149;0.254796464;0.333020778;0.186621942;0.040429988;0.073561357;0.003399441;-0.004410127;0.000181014;-0.009601033;-0.122711567;-0.075015068;-0.173678881;-0.253483548;-0.154491201;-0.365083465;-0.07968243;-0.01912251;-0.149791959
