;sentiment;exchange;inflation
29/1/2025;289.9;11.500;11.966
30/1/2025;292.3;11.500;11.980
31/1/2025;282.1;11.500;11.988
1/2/2025;296.4;11.500;13.028
2/2/2025;316.4;11.500;13.028
3/2/2025;298.1;11.500;12.959
4/2/2025;290.8;11.400;12.981
5/2/2025;278.6;11.400;12.997
6/2/2025;277.2;11.500;13.025
7/2/2025;262.6;11.500;13.074
8/2/2025;245.6;11.400;13.115
9/2/2025;199.9;11.400;13.147
10/2/2025;184.2;11.400;13.239
11/2/2025;171.2;11.400;13.207
12/2/2025;169.2;11.400;13.165
13/2/2025;170.9;11.500;13.131
14/2/2025;168.7;11.500;13.119
15/2/2025;171.1;11.400;13.098
16/2/2025;159.8;11.400;13.079
17/2/2025;131.3;11.400;13.079
18/2/2025;137.7;11.500;13.078
19/2/2025;141.3;11.500;13.101
20/2/2025;153.9;11.500;13.119
21/2/2025;140.4;11.500;13.130
22/2/2025;139.6;11.500;13.126
23/2/2025;136.2;11.500;13.121
24/2/2025;127.1;11.500;13.126
25/2/2025;121.0;11.500;13.134
26/2/2025;124.8;11.600;13.137
27/2/2025;131.3;11.600;13.142
28/2/2025;143.2;11.600;13.144
1/3/2025;164.7;11.600;13.730
2/3/2025;172.7;11.600;13.730
3/3/2025;197.3;11.550;13.737
4/3/2025;231.9;11.500;13.746
5/3/2025;263.1;11.500;13.755
6/3/2025;284.7;11.500;13.775
7/3/2025;289.4;11.500;13.792
8/3/2025;293.5;11.500;13.756
9/3/2025;318.0;11.500;13.728
10/3/2025;308.4;11.500;13.670
11/3/2025;340.9;11.600;13.613
12/3/2025;363.9;12.200;13.587
13/3/2025;396.7;12.800;13.584
14/3/2025;408.6;12.500;13.656
15/3/2025;399.8;12.000;13.696
16/3/2025;388.9;12.000;13.731
17/3/2025;399.7;12.100;13.822
18/3/2025;388.8;12.100;13.904
19/3/2025;363.3;12.200;14.000
20/3/2025;344.3;12.300;14.093
21/3/2025;326.5;12.300;14.173
22/3/2025;326.5;12.300;14.243
23/3/2025;354.9;12.300;14.307
24/3/2025;347.4;12.300;14.382
25/3/2025;346.4;12.400;14.447
26/3/2025;305.6;12.500;14.463
27/3/2025;284.0;12.700;14.470
28/3/2025;243.2;12.600;14.469
29/3/2025;225.2;12.700;14.466
30/3/2025;230.1;12.600;14.463
31/3/2025;224.4;12.700;14.454
1/4/2025;208.7;12.700;14.701
2/4/2025;196.4;12.800;14.526
3/4/2025;197.2;13.100;14.544
4/4/2025;191.8;13.000;14.473
5/4/2025;192.2;13.100;14.435
6/4/2025;195.0;13.100;14.409
7/4/2025;166.9;13.200;14.426
8/4/2025;161.5;13.300;14.523
9/4/2025;168.5;13.600;14.600
10/4/2025;168.5;13.600;14.6
11/4/2025;187.0;13.800;14.696
