,cpi,ridge,lasso,ada,gbr,rf,et,set,min,max,w_avg,w_avg_best,forecast
2010-01-01,,-0.19969335129006316,0.46526583094913754,0.0730780473545689,0.2875532157862662,0.3570406632208645,0.33090741781326644,day,-0.19969335129006316,0.46526583094913754,0.11938420729826556,0.07216211448023414,-0.19969335129006316
2010-01-02,,-0.1005579837915831,0.48898180740682307,0.0730780473545689,0.30449681335287915,0.4214848923296845,0.2822618338096409,day,-0.1005579837915831,0.48898180740682307,0.1574327659701338,0.11774010805625063,-0.15012566754082313
2010-01-03,,-0.0676803769925538,0.489607584845964,0.0730780473545689,0.30449681335287915,0.4214848923296845,0.2884397700787089,day,-0.0676803769925538,0.489607584845964,0.17084520371558548,0.1371820002561387,-0.12264390402473335
2010-01-04,,-0.024176852109443647,0.4950576457234366,0.12698952399521898,0.5067858204241625,0.44659306642315544,0.3364073148905835,day,-0.024176852109443647,0.5067858204241625,0.2300138900481668,0.17416268623784692,-0.09802714104591093
2010-01-05,,-0.30401313536851315,0.4947138809516054,0.15525716783058024,0.49020546186896236,0.3930222123455185,0.31282212758488553,day,-0.30401313536851315,0.4947138809516054,0.1191401352281819,0.017211692689538084,-0.13922433991043137
2010-01-06,,-0.15507014821897558,0.45646136835345885,0.0730780473545689,0.45237965858680634,0.347675480522313,0.24862652400653526,day,-0.15507014821897558,0.45646136835345885,0.14039478415833412,0.07308228783039072,-0.1418653079618554
2010-01-07,,-0.1566538121546337,0.45654534279235026,0.0730780473545689,0.3115906516979309,0.2859996390085795,0.20449044908204744,day,-0.1566538121546337,0.45654534279235026,0.10970993336681956,0.06079708604600112,-0.1439779514179666
2010-01-08,,-0.20480927120102033,0.41135198901177006,0.0730780473545689,-0.5483397925182897,0.17523064589272852,0.16853577993985244,day,-0.5483397925182897,0.41135198901177006,-0.038228858878908034,0.016404403235829333,-0.1515818663908483
2010-01-09,,0.028358953367071393,0.4120633142930554,0.0730780473545689,-0.674077013503354,0.13425859754117098,0.20526305301781972,day,-0.674077013503354,0.4120633142930554,0.03624307981135862,0.15169594161818262,-0.13158844197330166
2010-01-10,,0.031470641779092645,0.4127746395743408,0.0730780473545689,-0.674077013503354,0.12170524517338821,0.20526305301781972,day,-0.674077013503354,0.4127746395743408,0.03663288476902276,0.1535159593796493,-0.11528253359806225
2010-01-11,,0.05360846953950782,0.4150221362443305,0.0730780473545689,-0.7112068037355198,0.06479386628229489,0.12928922078300673,day,-0.7112068037355198,0.4150221362443305,0.02291756415558099,0.14618880743747728,-0.09992880604010133
2010-01-12,,-0.056231891510524434,0.41609999837581624,0.0730780473545689,-0.6619665047930873,0.14791955046978306,0.18334915715168495,day,-0.6619665047930873,0.41609999837581624,0.00393013711992704,0.10125237152451727,-0.09628739649596992
2010-01-13,,0.07646017830649843,0.42947572556251945,0.0730780473545689,0.32611234643241555,0.3032925096012891,0.21827706350155235,day,0.0730780473545689,0.42947572556251945,0.19809478902693337,0.18450119775994603,-0.08299912151116466
2010-01-14,,-0.02404616776836388,0.4307109061004648,0.0730780473545689,0.3122578001808214,0.2764442239147799,0.18047092044358545,day,-0.02404616776836388,0.4307109061004648,0.15052703385717103,0.12079512198407523,-0.07878819624382175
2010-01-15,,-0.1356528708572795,0.4296835452931034,0.0730780473545689,0.31564591368334927,0.32866989521475737,0.22774313162312393,day,-0.1356528708572795,0.4296835452931034,0.12139626231508086,0.07272139157747175,-0.0825791745513856
2010-01-16,,-0.020880392442320428,0.44906929685175623,0.0730780473545689,0.2664827546587858,0.3045735977614872,0.17037180569237165,day,-0.020880392442320428,0.44906929685175623,0.1485546742223566,0.1235864884703627,-0.07872300066956903
2010-01-17,,-0.006261920102014429,0.448811866623696,0.0730780473545689,0.2664827546587858,0.3045735977614872,0.17037180569237165,day,-0.006261920102014429,0.448811866623696,0.1539521272479894,0.13141032347111775,-0.07446058416559523
2010-01-18,,-0.1574113805282451,0.4655781505384251,0.0730780473545689,0.27450538124723156,0.33753210670273026,0.18261650936614324,day,-0.1574113805282451,0.4655781505384251,0.10559601015799762,0.05653802464021971,-0.079068961741298
2010-01-19,,-0.03099580160099258,0.47221708793015704,0.0730780473545689,-0.6867697375945645,0.1933944194671088,0.17537606108194773,day,-0.6867697375945645,0.47221708793015704,0.019669914285970348,0.1241070664118636,-0.07653879541812403
2010-01-20,,-0.013548202684041222,0.524823250615766,0.1219199173306373,0.1218322699872982,0.41210439899349466,0.22173710495624044,day,-0.013548202684041222,0.524823250615766,0.16553744033716902,0.15615133808161366,-0.07338926578141988
2010-01-21,,-0.11601170790532267,0.5299012755956367,0.0730780473545689,0.15708035576013551,0.42052716143803237,0.226965511387214,day,-0.11601170790532267,0.5299012755956367,0.12862411998129367,0.10332968555821186,-0.07541890588255812
2010-01-22,,-0.20257552785327793,0.5484195147411284,0.0730780473545689,0.1826034281068849,0.38053408736037997,0.2848778762569221,day,-0.20257552785327793,0.5484195147411284,0.10988979789391566,0.07545316981054769,-0.08119875233577266
2010-01-23,,-0.016349060467811594,0.5431238227706676,0.1219199173306373,0.215647537454887,0.39073079348153833,0.3274417779610198,day,-0.016349060467811594,0.5431238227706676,0.19645190471285728,0.18575609190673262,-0.07837920051542652
2010-01-24,,-0.015482628013297806,0.5404567949888679,0.1219199173306373,0.215647537454887,0.39073079348153833,0.3274417779610198,day,-0.015482628013297806,0.5404567949888679,0.1964025623668118,0.18568456810241668,-0.0757585099945045
